Transactions,SLA,# Samples/TPH,Average,90% Line,95% Line,Min,Max,Error %,Throughput per Sec
SC01_TR01_Jpet_Store_Launch,3,228,1.546,1.539,1.572,0.885,22.528,0.00%,0.06354
SC01_TR02_Jpet_Store_Login,3,228,2.13,2.196,2.223,1.942,6.5,0.00%,0.06354
SC01_TR03_Jpet_Store_Click on Fish,3,227,0.534,0.563,0.589,0.492,1.299,0.00%,0.06384
SC01_TR04_Jpet_Store_Click onAngel Fish,3,227,0.542,0.571,0.59,0.502,0.707,0.00%,0.06384
SC01_TR05_Jpet_Store_Click Add to Cart Large Angel Fish,3,227,1.852,1.645,1.755,1.453,23.591,0.00%,0.06376
SC01_TR06_Jpet_Store_Proceed to Checkout,3,225,0.533,0.561,0.584,0.494,0.706,0.00%,0.06364
SC01_TR07_Jpet_Store_Enter Payment Details and Billing Address and Click Continue,3,225,2.017,1.568,1.648,0.493,22.568,0.00%,0.06362
SC01_TR08_Jpet_Store_Confirm Info and Continue,3,225,1.725,1.689,1.998,0,23.502,0.44%,0.06373
SC01_TR09_Jpet_Store_SignOut,3,222,1.583,1.651,1.686,0,2.757,0.00%,0.06344
SC02_TR01_Jpet_Store_Launch,3,227,2.023,1.541,1.602,0.862,22.831,0.00%,0.06343
SC02_TR02_Jpet_Store_Login,3,227,2.128,2.221,2.247,1.977,4.711,0.00%,0.06319
SC02_TR03_Jpet_Store_Click on Dogs,3,227,0.533,0.569,0.597,0,0.756,0.00%,0.06366
SC02_TR04_Jpet_Store_Click on BullDog,3,226,0.545,0.572,0.61,0.489,0.706,0.00%,0.06338
SC02_TR05_Jpet_Store_Click Add to Cart Male Adult BullDog,3,226,1.695,1.695,1.89,0,23.611,0.00%,0.0639
SC02_TR06_Jpet_Store_Proceed to Checkout,3,225,0.538,0.575,0.619,0.483,1.097,0.00%,0.06375
SC02_TR07_Jpet_Store_Enter Payment Details and Billing Address and Click Continue,3,225,1.59,1.553,1.605,0.494,22.556,0.00%,0.06373
SC02_TR08_Jpet_Store_Confirm Info and Continue,3,225,1.836,1.715,1.981,1.46,23.732,0.00%,0.06371
SC02_TR09_Jpet_Store_SignOut,3,224,1.588,1.649,1.671,0,5.967,0.00%,0.06376
SC03_TR01_Jpet_Store_Launch,3,228,1.795,1.539,1.589,0,22.634,0.00%,0.06452
SC03_TR02_Jpet_Store_Login,3,227,2.117,2.213,2.261,1.945,2.897,0.00%,0.06399
SC03_TR03_Jpet_Store_Click on Reptiles,3,227,0.532,0.568,0.6,0.486,0.728,0.00%,0.06423
SC03_TR04_Jpet_Store_Click on Rattlesnake,3,227,0.548,0.579,0.627,0.491,1.089,0.00%,0.06423
SC03_TR05_Jpet_Store_Click Add to Cart Venomless Rattlesnake,3,227,1.681,1.66,1.685,1.476,23.545,0.00%,0.0641
SC03_TR06_Jpet_Store_Proceed to Checkout,3,227,0.536,0.563,0.59,0.487,1.022,0.00%,0.06423
SC03_TR07_Jpet_Store_Enter Payment Details and Billing Address and Click Continue,3,227,1.625,1.545,1.597,0.507,22.562,0.00%,0.06421
SC03_TR08_Jpet_Store_Confirm Info and Continue,3,227,1.646,1.702,2.019,0,8.042,0.44%,0.06439
SC03_TR09_Jpet_Store_SignOut,3,224,1.613,1.659,1.693,0,6.024,0.00%,0.06381
SC04_TR01_Jpet_Store_Launch,3,228,2.05,1.585,1.704,0.871,22.741,0.00%,0.06332
SC04_TR02_Jpet_Store_Login,3,227,2.134,2.229,2.283,1.962,3.198,0.00%,0.06367
SC04_TR03_Jpet_Store_Click on Cats,3,227,0.538,0.568,0.616,0.48,1.153,0.00%,0.06392
SC04_TR04_Jpet_Store_Click on Manx,3,227,0.55,0.588,0.636,0.502,0.928,0.00%,0.06392
SC04_TR05_Jpet_Store_Click Add to Cart Tailless Manx,3,227,1.604,1.689,1.763,1.464,2.502,0.00%,0.06379
SC04_TR06_Jpet_Store_Proceed to Checkout,3,227,0.534,0.559,0.621,0,1.08,0.00%,0.06439
SC04_TR07_Jpet_Store_Enter Payment Details and Billing Address and Click Continue,3,224,1.813,1.562,1.629,0.511,22.56,0.00%,0.06352
SC04_TR08_Jpet_Store_Confirm Info and Continue,3,224,1.633,1.696,1.743,0.566,8.033,0.45%,0.0635
SC04_TR09_Jpet_Store_SignOut,3,222,1.602,1.657,1.689,1.478,5.995,0.00%,0.0632
SC05_TR01_Jpet_Store_Launch,3,229,1.719,1.529,1.618,0.881,22.75,0.00%,0.06387
SC05_TR02_Jpet_Store_Login,3,229,2.254,2.217,2.281,1.932,19.984,0.00%,0.06382
SC05_TR03_Jpet_Store_Click on Birds,3,227,0.532,0.557,0.567,0.477,0.686,0.00%,0.06368
SC05_TR04_Jpet_Store_Click on Amazon Parrot,3,227,0.55,0.593,0.62,0,1.067,0.00%,0.06441
SC05_TR05_Jpet_Store_Click Add to Cart Adult Male Amazon Parrot,3,226,1.688,1.673,1.717,1.463,23.516,0.00%,0.064
SC05_TR06_Jpet_Store_Proceed to Checkout,3,226,0.531,0.555,0.573,0.484,0.653,0.00%,0.06412
SC05_TR07_Jpet_Store_Enter Payment Details and Billing Address and Click Continue,3,226,1.637,1.549,1.583,0.496,22.592,0.00%,0.06411
SC05_TR08_Jpet_Store_Confirm Info and Continue,3,226,1.676,1.728,2.092,0.557,8.044,0.44%,0.06408
SC05_TR09_Jpet_Store_SignOut,3,223,1.67,1.64,1.692,0,23.745,0.00%,0.06387
TOTAL,,10179,1.372,2.061,2.138,0,23.745,0.04%,2.82679
